,X,Y,Area,Perimeter,Radius,Circularity,Convexity,Inertia,Graymean,Graystd,Repimean,Repistd,Gepimean,Gepistd,Bepimean,Bepistd,X_rawImage,Y_rawImage,plate_barcode,colony_index
0,373,940,134.0,46.14213538169861,6.4031242374328485,0.7908958272640014,0.9571428571428572,0.9990586523265647,150.99063110351562,0.12260989099740982,58.124855041503906,0.03870197385549545,55.796836853027344,0.03314807638525963,71.65825653076172,0.044037315994501114,523,1090,H2M3,0
1,1490,935,110.0,40.485281229019165,6.0,0.8433507360876418,0.9865470852017937,0.9981191650250478,145.10174560546875,0.1435076892375946,58.550968170166016,0.06406644731760025,55.810672760009766,0.05730133876204491,75.82926940917969,0.04708642512559891,1640,1085,H2M3,1
2,489,914,454.0,83.94112479686737,12.186040338165071,0.8096851013726306,0.9458333333333333,0.9999300684431818,143.33761596679688,0.06759079545736313,63.76908874511719,0.042374782264232635,59.70001220703125,0.03917267173528671,77.13627624511719,0.05480935797095299,639,1064,H2M3,2
3,988,932,3417.5,224.7523066997528,33.24154027718932,0.8501784096333392,0.9711565785734584,0.999996587544739,122.9323501586914,0.1559661477804184,68.41231536865234,0.057488687336444855,63.743629455566406,0.057838112115859985,88.50433349609375,0.14185582101345062,1138,1082,H2M3,3
4,166,901,995.5,120.32590079307556,17.606450415602623,0.8640380839396061,0.97216796875,0.9999682666435181,131.4332275390625,0.13427510857582092,67.46271514892578,0.053951043635606766,63.88070297241211,0.05723504349589348,89.9041976928711,0.15834040939807892,316,1051,H2M3,4
5,1248,909,2211.0,176.7106763124466,26.92582403567252,0.8897603089732496,0.9837597330367075,0.9999954344537426,116.75657653808594,0.230004221200943,70.5638198852539,0.09655966609716415,64.90350341796875,0.0864776000380516,101.19003295898438,0.24556398391723633,1398,1059,H2M3,5
6,76,914,3193.0,278.5096663236618,31.304951684997057,0.5172830365009742,0.8865750381785367,0.9999661744809186,141.1656036376953,0.0729270949959755,66.42523956298828,0.04241306334733963,62.987674713134766,0.034016091376543045,80.55763244628906,0.05030199885368347,226,1064,H2M3,6
7,1156,885,1776.0,158.71067678928375,24.186773244895647,0.8860139061002763,0.9812154696132597,0.999963032725884,119.72936248779297,0.2183326929807663,69.84486389160156,0.08962622284889221,64.41080474853516,0.08831728249788284,102.90782165527344,0.23828576505184174,1306,1035,H2M3,7
8,1051,870,2322.0,181.19595766067505,27.202941017470888,0.888740701771576,0.9843153878762188,0.9999889119049337,117.03143310546875,0.22807398438453674,70.27130889892578,0.08638940751552582,64.6761703491211,0.0833161324262619,100.21703338623047,0.23370690643787384,1201,1020,H2M3,8
9,276,861,2501.5,212.81118214130402,28.42534080710379,0.6940991025621268,0.9414753481369966,0.990382439385869,135.1907196044922,0.09937237948179245,65.3182144165039,0.03890600427985191,60.603816986083984,0.03646612539887428,77.74332427978516,0.07201415300369263,426,1011,H2M3,9
10,226,867,3128.0,217.6812391281128,32.5422765633903,0.829534793451059,0.9643903190997379,0.999998674128189,123.08360290527344,0.14131836593151093,68.79457092285156,0.047035153955221176,64.89027404785156,0.057998888194561005,86.50480651855469,0.14876805245876312,376,1017,H2M3,10
11,768,856,2275.0,179.19595777988434,26.91653606490997,0.8902968717119223,0.982085042089359,0.999932988674063,114.58169555664062,0.25073665380477905,71.31256866455078,0.08927968889474869,65.7709732055664,0.08931302279233932,102.54363250732422,0.2435624897480011,918,1006,H2M3,11
12,617,847,4418.5,249.72286999225616,37.69615364994153,0.8903650177715284,0.9849531876950512,0.9999988191218658,113.14376831054688,0.2063256949186325,70.94670867919922,0.061216022819280624,65.92318725585938,0.06530191749334335,99.79075622558594,0.18705034255981445,767,997,H2M3,12
13,152,812,1713.0,155.88224935531616,23.323807579381203,0.8858779644293772,0.9802575107296138,0.9999682093494213,123.50048828125,0.20578540861606598,71.91197204589844,0.08619166910648346,67.0638427734375,0.07354242354631424,98.41275787353516,0.19636259973049164,302,962,H2M3,13
14,133,856,1652.0,158.36753046512604,22.67156809750927,0.8277279455103954,0.9643899591360187,0.9999938915523915,125.29385375976562,0.1904085874557495,71.65625762939453,0.08944212645292282,67.28173065185547,0.081932932138443,98.14330291748047,0.2152571827173233,283,1006,H2M3,14
15,1227,807,1331.5,136.8111822605133,20.615528128088304,0.8939389141690282,0.9812085482682388,0.999992836665121,123.21636199951172,0.21181462705135345,68.01966857910156,0.09393972903490067,62.65363311767578,0.09258429706096649,95.54149627685547,0.2766852080821991,1377,957,H2M3,15
16,283,786,950.0,118.08326005935669,17.846518817381586,0.8561636791272533,0.9693877551020408,0.9999816144090462,131.7797088623047,0.11578875035047531,65.87165069580078,0.04546037316322327,61.358665466308594,0.040847714990377426,85.88457489013672,0.1383477747440338,433,936,H2M3,16
17,443,792,1845.5,164.95331716537476,24.186773244895647,0.8523182868853302,0.9715714661753093,0.9998763058406878,121.17037963867188,0.22050805389881134,70.38011932373047,0.0819605216383934,64.44676971435547,0.07293500006198883,97.99456024169922,0.21845117211341858,593,942,H2M3,17
18,464,828,1231.0,136.2253954410553,19.924858845171276,0.8335885918471561,0.9620945681906995,0.9999896840008596,119.82957458496094,0.22329813241958618,69.51990509033203,0.0660056322813034,64.56316375732422,0.06872941553592682,94.2776107788086,0.18804018199443817,614,978,H2M3,18
19,427,851,1436.5,145.63960921764374,21.400934559032695,0.8510527598955778,0.9676658807679354,0.9999937558728865,122.83303833007812,0.2278735488653183,69.61115264892578,0.08059217780828476,64.68038177490234,0.07148300111293793,92.36539459228516,0.19602499902248383,577,1001,H2M3,19
