,X,Y,Area,Perimeter,Radius,Circularity,Convexity,Inertia,Graymean,Graystd,Repimean,Repistd,Gepimean,Gepistd,Bepimean,Bepistd,X_rawImage,Y_rawImage,plate_barcode,colony_index,Y_concat,pickStatus,pickIndexGroup,pickIndexPlate
31,1297,586,652.0,103.94112467765808,15.0,0.7583726048056262,0.9228591648973815,0.9999626342315423,143.16502380371094,0.06017546355724335,63.7303352355957,0.03527868911623955,59.09103775024414,0.03064839355647564,80.44425964355469,0.045671261847019196,1447,736,H2M1,31,686,not_pick,NA,NA
32,736,591,3151.5,232.40916061401367,32.55764119219941,0.7331970200238901,0.9376673609044928,0.9999980669966703,131.3956756591797,0.11676255613565445,64.75373077392578,0.038185589015483856,58.97529602050781,0.036424245685338974,79.76980590820312,0.10629346966743469,886,741,H2M1,32,691,not_pick,NA,NA
33,197,562,978.5,122.66904628276825,18.384776310850235,0.8171479894331347,0.9518482490272373,0.9999869674674805,135.90794372558594,0.11562399566173553,59.941715240478516,0.04821816086769104,56.49325180053711,0.03758002817630768,77.91748046875,0.0871627926826477,347,712,H2M1,33,662,not_pick,NA,NA
34,426,574,3541.5,241.09545254707336,33.83784863137726,0.7656302291903386,0.9425149700598803,0.999998747224257,126.17182159423828,0.15616375207901,63.33405303955078,0.034072864800691605,57.81182861328125,0.030152006074786186,75.72652435302734,0.07224591821432114,576,724,H2M1,34,674,pick,6,6
35,797,525,1761.5,165.7817440032959,24.041630560342615,0.8054138684043447,0.944757307589166,0.9999955681301296,118.5262222290039,0.2115851789712906,66.5289306640625,0.04360450431704521,59.41812515258789,0.06334387511014938,80.30460357666016,0.15263302624225616,947,675,H2M1,35,625,not_pick,NA,NA
36,902,534,4843.5,274.6934312582016,40.755351125873474,0.8066267485804991,0.964264383834362,0.9999979472065424,112.61988830566406,0.198502317070961,69.20246124267578,0.05125866457819939,61.94612503051758,0.05634345859289169,95.6093978881836,0.19074273109436035,1052,684,H2M1,36,634,bad_pick,NA,NA
37,577,512,2148.0,190.71067643165588,26.076809620810597,0.7421541630756947,0.9136537643555933,0.9999972959420012,120.2569351196289,0.19111211597919464,68.42046356201172,0.0736997202038765,62.21006393432617,0.07137314975261688,99.37409210205078,0.25192680954933167,727,662,H2M1,37,612,not_pick,NA,NA
38,612,514,1110.0,133.25483334064484,19.235384061671343,0.7855374632227439,0.9503424657534246,0.999989374493235,122.7092514038086,0.17343847453594208,66.07168579101562,0.04530227929353714,59.9071044921875,0.04700489342212677,88.28675079345703,0.17918406426906586,762,664,H2M1,38,614,not_pick,NA,NA
39,1110,493,992.5,122.66904616355896,17.958150098659132,0.8288394288080501,0.9584741670690488,0.9999858104176097,142.4427490234375,0.05771246552467346,61.40678787231445,0.029818344861268997,56.54469680786133,0.03031875379383564,74.21903228759766,0.04535604268312454,1260,643,H2M1,39,593,not_pick,NA,NA
40,856,488,1780.5,159.29646337032318,24.08318915758459,0.8817380332737625,0.9796423658872077,0.9999908620415245,118.16543579101562,0.2149011194705963,69.4029769897461,0.06807025521993637,62.415184020996094,0.06313597410917282,95.46375274658203,0.21458791196346283,1006,638,H2M1,40,588,not_pick,NA,NA
41,103,488,3171.0,273.6812387704849,31.622776601683793,0.5320054142644902,0.8649754500818331,0.999998473132835,139.72482299804688,0.08403529226779938,62.04103088378906,0.03570196405053139,58.495758056640625,0.02934916317462921,75.69922637939453,0.049029938876628876,253,638,H2M1,41,588,not_pick,NA,NA
42,1312,467,1831.5,164.468035697937,24.647462911477312,0.8508515140355568,0.9670010559662091,0.9999261777108948,127.65767669677734,0.1513190120458603,63.139896392822266,0.04523046314716339,58.54549789428711,0.04167155548930168,85.20562744140625,0.13241170346736908,1462,617,H2M1,42,567,not_pick,NA,NA
43,1477,467,2105.0,178.71067655086517,26.076809620810597,0.8282490879238283,0.9707170855430021,0.9999946423681172,116.8921890258789,0.21795862913131714,68.78422546386719,0.07549839466810226,63.16816329956055,0.07211548089981079,99.51129913330078,0.22132225334644318,1627,617,H2M1,43,567,not_pick,NA,NA
44,1434,475,1691.5,161.63960933685303,23.291607139303608,0.8135538073542659,0.9618993460335513,0.9999921482865567,116.92378234863281,0.19308821856975555,69.35737609863281,0.06929869204759598,63.54511642456055,0.06102581322193146,100.25049591064453,0.20002734661102295,1584,625,H2M1,44,575,not_pick,NA,NA
45,1430,512,1002.0,130.42640578746796,17.478552440554438,0.740195657199255,0.9515669515669516,0.9999724638421343,107.07402801513672,0.20907002687454224,70.187744140625,0.061462078243494034,64.13136291503906,0.06653357297182083,100.43619537353516,0.2121407687664032,1580,662,H2M1,45,612,not_pick,NA,NA
46,1392,516,1694.5,160.46803617477417,23.291607139303608,0.8269406893721516,0.9649772209567198,0.9999873506273713,114.66011047363281,0.24406228959560394,68.52313995361328,0.07062374800443649,63.647037506103516,0.07066421955823898,98.77522277832031,0.20040836930274963,1542,666,H2M1,46,616,not_pick,NA,NA
47,1449,552,2946.0,209.6812391281128,30.870698080866262,0.8420220366963507,0.9636898920510304,0.9999980413688067,124.05006408691406,0.12871640920639038,65.85476684570312,0.03989602252840996,60.9820442199707,0.04249797761440277,85.31245422363281,0.12367581576108932,1599,702,H2M1,47,652,not_pick,NA,NA
48,331,439,85.5,35.899494767189026,5.32842712474619,0.8336798516835647,0.9606741573033708,0.9853307915991779,154.334716796875,0.11156673729419708,54.28474807739258,0.055633675307035446,51.692718505859375,0.04424995929002762,68.12077331542969,0.029714100062847137,481,589,H2M1,48,539,pick,7,7
49,997,463,2794.5,201.78174448013306,30.01666203960727,0.8624823835809516,0.9817319515194098,0.9999983868624646,120.74189758300781,0.1648731231689453,65.8538589477539,0.0473959818482399,59.57032775878906,0.04647262766957283,88.82437133789062,0.16661611199378967,1147,613,H2M1,49,563,not_pick,NA,NA
50,195,411,2054.0,180.7106763124466,25.80697580112788,0.7903922637147328,0.9540176497909894,0.999952406707664,125.83647918701172,0.15630558133125305,67.04041290283203,0.0598912239074707,61.98780822753906,0.05626693740487099,94.768798828125,0.1971031129360199,345,561,H2M1,50,511,pick,8,8
51,143,397,777.0,107.74011385440826,15.652475842498529,0.8411549839523464,0.958667489204195,0.9999792327659223,131.32919311523438,0.1268487572669983,64.479248046875,0.039432164281606674,60.340091705322266,0.03573793172836304,86.24132537841797,0.12326523661613464,293,547,H2M1,51,497,not_pick,NA,NA
52,128,430,1862.5,166.95331728458405,24.60673970735973,0.8396843135209282,0.9627810803825277,0.9999881895030263,122.99382019042969,0.18560615181922913,68.82705688476562,0.07641918212175369,63.33373260498047,0.07531292736530304,95.43961334228516,0.22243095934391022,278,580,H2M1,52,530,not_pick,NA,NA
53,879,353,130.0,51.65685415267944,5.830951894845301,0.6122056131152437,0.9285714285714286,0.9995258858704823,155.309814453125,0.06227712705731392,59.95600509643555,0.027998922392725945,55.596466064453125,0.027744915336370468,72.09638214111328,0.032801758497953415,1029,503,H2M1,53,453,bad_pick,NA,NA
54,1313,359,1193.0,133.74011385440826,19.4164878389476,0.8381599992712792,0.9628732849071832,0.9999912125080131,129.10353088378906,0.1410243809223175,63.9532356262207,0.03699115663766861,59.53162384033203,0.03505361080169678,86.21892547607422,0.1264769583940506,1463,509,H2M1,54,459,not_pick,NA,NA
55,296,358,1357.0,142.56854140758514,21.02379604162864,0.8389620164044771,0.9658362989323843,0.9999879087764465,123.38953399658203,0.18927636742591858,65.38465118408203,0.04768506810069084,59.86930465698242,0.05135122686624527,86.90876007080078,0.16558599472045898,446,508,H2M1,55,458,not_pick,NA,NA
56,171,358,1919.0,167.5391035079956,25.059928172283335,0.8591172996293891,0.9706626201315124,0.9999962129910188,122.03417205810547,0.1896422803401947,68.4020767211914,0.06884054839611053,62.55073165893555,0.0633770301938057,93.18090057373047,0.19481222331523895,321,508,H2M1,56,458,not_pick,NA,NA
57,1019,353,2901.0,206.5096663236618,31.400636936215164,0.8548242283232578,0.9754539340954943,0.9999985415554276,114.95498657226562,0.22449716925621033,67.66321563720703,0.061220746487379074,61.18225860595703,0.059302445501089096,95.89585876464844,0.20990397036075592,1169,503,H2M1,57,453,not_pick,NA,NA
58,1375,350,2351.0,182.02438497543335,27.303844347703844,0.8916683437709507,0.9830650219527494,0.9999976110270092,115.64378356933594,0.22661590576171875,68.45631408691406,0.07130598276853561,62.289283752441406,0.06687327474355698,100.44840240478516,0.22691695392131805,1525,500,H2M1,58,450,not_pick,NA,NA
59,689,325,89.5,42.24264061450958,5.385164807134504,0.630276018000721,0.8564593301435407,0.9138025982650542,154.27780151367188,0.037279002368450165,54.3113899230957,0.033460285514593124,51.314125061035156,0.026753991842269897,66.66741943359375,0.03491620346903801,839,475,H2M1,59,425,bad_pick,NA,NA
60,525,329,2158.0,175.1959581375122,26.30589287593181,0.8835133970716209,0.9831435079726651,0.999997242790113,109.36247253417969,0.28996023535728455,67.44493865966797,0.07857012003660202,61.322364807128906,0.08340096473693848,97.11023712158203,0.23638831079006195,675,479,H2M1,60,429,not_pick,NA,NA
61,338,325,2608.0,201.68123936653137,29.180461603623485,0.8057242745496702,0.9653895983712752,0.9999978383209691,116.45172119140625,0.2178163379430771,68.56995391845703,0.06643584370613098,62.24631118774414,0.06672114878892899,95.78180694580078,0.21568232774734497,488,475,H2M1,61,425,not_pick,NA,NA
62,206,315,1696.5,159.63960874080658,22.847319317591726,0.8365317300193499,0.9683219178082192,0.9999930472967905,122.64022064208984,0.16689026355743408,68.77882385253906,0.05688288435339928,63.5316047668457,0.061838895082473755,99.63465118408203,0.2060280442237854,356,465,H2M1,62,415,not_pick,NA,NA
63,1236,296,2361.5,180.6101725101471,27.69474130980138,0.9097318485029231,0.9889028475711893,0.9999974030449927,113.6664047241211,0.24788585305213928,69.08277893066406,0.06990550458431244,63.04863357543945,0.0743316039443016,100.16500854492188,0.23465043306350708,1386,446,H2M1,63,396,not_pick,NA,NA
64,441,284,2349.5,182.61017107963562,27.51363298439521,0.8853915782332692,0.9824378005435919,0.999996729023346,115.14777374267578,0.24015168845653534,68.76728057861328,0.0757688656449318,62.10182571411133,0.0800313726067543,95.83145904541016,0.23297686874866486,591,434,H2M1,64,384,not_pick,NA,NA
65,939,284,2080.5,173.78174436092377,25.96150997149434,0.8657037120628515,0.9733333333333334,0.9999969028449319,122.63568115234375,0.1816508173942566,65.44715118408203,0.0419207327067852,59.22350311279297,0.0425197035074234,86.78057861328125,0.14764338731765747,1089,434,H2M1,65,384,not_pick,NA,NA
66,1175,247,112.0,51.65685415267944,5.385164807134504,0.5274386820685176,0.797153024911032,0.9987875617215412,158.0362548828125,0.03140562027692795,62.032310485839844,0.025312015786767006,56.68074035644531,0.02744893729686737,73.9686508178711,0.028617925941944122,1325,397,H2M1,66,347,bad_pick,NA,NA
67,236,233,1878.0,166.36753106117249,24.269182284333745,0.8526451159786334,0.9675425038639877,0.9999955416985834,123.56675720214844,0.18837685883045197,67.5301742553711,0.05504687502980232,62.305328369140625,0.05691467598080635,89.59354400634766,0.16806888580322266,386,383,H2M1,67,333,not_pick,NA,NA
68,581,212,2258.5,179.78174448013306,26.96291201783626,0.8780894889000995,0.9798264642082429,0.9999936728479183,114.83464813232422,0.23378613591194153,72.32369995117188,0.08921496570110321,65.08078002929688,0.09499350935220718,99.65876007080078,0.2571481764316559,731,362,H2M1,68,312,not_pick,NA,NA
69,1220,172,52.0,27.656854152679443,4.242640687119285,0.854294575467492,0.9811320754716981,0.9954872210248087,158.57106018066406,0.044006772339344025,59.43820571899414,0.0231837946921587,58.049659729003906,0.021019447594881058,74.3380126953125,0.028969325125217438,1370,322,H2M1,69,272,bad_pick,NA,NA
70,1009,164,146.5,45.55634891986847,7.0710678118654755,0.8870532012384236,0.979933110367893,0.970748015351574,142.66453552246094,0.18508249521255493,58.526065826416016,0.02851627580821514,54.39197540283203,0.0263406690210104,70.09767150878906,0.037036772817373276,1159,314,H2M1,70,264,not_pick,NA,NA
71,844,185,2444.0,186.50966656208038,27.793882763907646,0.8828936113498042,0.9791666666666666,0.9999978017231417,116.36103820800781,0.2311699539422989,72.24535369873047,0.10186029970645905,65.35850524902344,0.10350578278303146,103.42220306396484,0.25982025265693665,994,335,H2M1,71,285,pick,9,9
72,1457,180,2114.5,172.95331704616547,26.0,0.8883002045302365,0.9837171435217492,0.9999956254717648,110.79254913330078,0.2611343562602997,72.2688980102539,0.094760961830616,67.60144805908203,0.09619717299938202,104.16165924072266,0.2147827446460724,1607,330,H2M1,72,280,not_pick,NA,NA
73,105,174,1608.5,151.154327750206,23.259406699226016,0.8846872269708249,0.9807926829268293,0.9999940650039737,128.7267303466797,0.15392537415027618,72.16978454589844,0.07540322095155716,67.8904800415039,0.07129819691181183,101.29808044433594,0.15701046586036682,255,324,H2M1,73,274,not_pick,NA,NA
74,631,173,2148.5,183.78174424171448,26.248809496813376,0.7993564506649591,0.9542527204086165,0.9999948812272148,116.10770416259766,0.2297748476266861,73.74901580810547,0.09864411503076553,67.09638977050781,0.10227715969085693,102.47797393798828,0.2588755488395691,781,323,H2M1,74,273,not_pick,NA,NA
75,679,197,2090.5,178.46803641319275,26.92582403567252,0.8247819445844567,0.9626985954409395,0.8895679130690347,112.01155853271484,0.25888335704803467,73.70342254638672,0.12173954397439957,67.3417739868164,0.1581224650144577,105.96372985839844,0.29681017994880676,829,347,H2M1,75,297,pick,10,10
76,655,127,726.0,103.25483286380768,15.231546211727817,0.8557082293625096,0.9628647214854111,0.999906001953474,132.03775024414062,0.09385479241609573,67.3399658203125,0.04371777921915054,62.92384719848633,0.036544959992170334,88.93531036376953,0.08039364218711853,805,277,H2M1,76,227,not_pick,NA,NA
77,464,137,2992.5,218.26702547073364,32.202484376209235,0.7893466373699063,0.9583666933546837,0.9999982364118594,114.61433410644531,0.23402039706707,74.6353759765625,0.10109755396842957,68.5998764038086,0.09919661283493042,106.95311737060547,0.23702891170978546,614,287,H2M1,77,237,bad_pick,NA,NA
78,122,89,85.5,39.071067690849304,5.830951894845301,0.703826184902862,0.9095744680851063,0.9966166767243282,161.85897827148438,0.04065179079771042,58.06272506713867,0.029648402705788612,56.54718780517578,0.02314898744225502,73.6892318725586,0.02600308693945408,272,239,H2M1,78,189,bad_pick,NA,NA
79,871,82,2557.0,194.02438485622406,28.827049738549782,0.8535480247312053,0.9681938659598637,0.9999836225141822,114.72954559326172,0.2298293113708496,71.21954345703125,0.0748344138264656,67.21812438964844,0.07699359953403473,104.07734680175781,0.20921973884105682,1021,232,H2M1,79,182,pick,11,11
80,1001,77,2474.5,201.7817450761795,27.558846903685314,0.7637189642377858,0.9428462564297961,0.9998629154817197,122.33448791503906,0.1428835391998291,67.98441314697266,0.04091966897249222,64.28059387207031,0.0460166372358799,92.12220764160156,0.10456055402755737,1151,227,H2M1,80,177,not_pick,NA,NA
81,1041,97,1673.0,156.7106763124466,23.334521319619355,0.8560687330163895,0.9766491535318156,0.999991733676377,108.07952117919922,0.27969878911972046,72.60042572021484,0.09437406063079834,69.05149841308594,0.10850784182548523,108.86188507080078,0.2506583631038666,1191,247,H2M1,81,197,not_pick,NA,NA
82,749,66,1626.0,157.05382251739502,22.561028345356956,0.8283872064338281,0.9609929078014184,0.9999935809783916,113.52996063232422,0.2550726532936096,73.6799545288086,0.09529045969247818,69.89411926269531,0.11366104334592819,116.64927673339844,0.2655344307422638,899,216,H2M1,82,166,not_pick,NA,NA
83,294,57,1810.0,160.71067667007446,24.186773244895647,0.8806411591295055,0.9789075175770687,0.9999961555000643,115.86934661865234,0.24630974233150482,67.80709838867188,0.06710957735776901,64.03334045410156,0.07233462482690811,94.30010986328125,0.17417235672473907,444,207,H2M1,83,157,not_pick,NA,NA
