,PCA1,PCA2,pickStatus,plateBarcode
0,4.09483806848867,-2.349073200170483,pick,H2M1
1,3.8143592312350063,-3.05449244729266,not_pick,H2M1
2,5.097583622711661,-2.9233732730069595,bad_pick,H2M1
3,1.9326075051599976,1.2560247585265725,not_pick,H2M1
4,2.494684670508768,-0.7338914044491569,not_pick,H2M1
5,-1.0211262285046956,2.445827552728883,pick,H2M1
6,0.4898202964489813,1.5272754551101666,pick,H2M1
7,0.9724327611449669,0.34573806776105864,not_pick,H2M1
8,1.4214286857200977,0.7111767496833665,not_pick,H2M1
9,5.361798312566307,-2.3276640478626494,bad_pick,H2M1
10,5.628672849952374,-2.852671040622478,bad_pick,H2M1
11,3.4498834034136263,3.3658120613764893,pick,H2M1
12,4.278741500047486,-3.1266582634989217,not_pick,H2M1
13,1.2432394403903702,0.22286442939630066,not_pick,H2M1
14,-2.88862773225387,-0.8285409441915601,not_pick,H2M1
15,-1.2533366078362582,-0.9455394911579189,pick,H2M1
16,-0.9232817966927774,3.6292998833325494,not_pick,H2M1
17,-2.980491466311646,-0.39146174637970954,not_pick,H2M1
18,-2.1177886966788453,1.86855376496197,not_pick,H2M1
19,-2.2596160181677654,-0.7382733331844347,not_pick,H2M1
20,-1.6393521181673076,-0.5704025925246926,not_pick,H2M1
21,-2.1874267700857017,-1.0354415697242807,not_pick,H2M1
22,1.3633826638412392,0.4712853427392247,not_pick,H2M1
23,1.8114890068431968,-0.6129610189020162,not_pick,H2M1
24,2.246192630431546,1.8994095554943808,pick,H2M1
25,1.2352763238749878,0.29201795745720865,not_pick,H2M1
26,2.186503967999563,3.39888328503043,not_pick,H2M1
27,1.0637271003847213,3.3349196992136494,bad_pick,H2M1
28,2.0913703417016096,1.7445264967413772,not_pick,H2M1
29,2.0916493801260883,-0.3000114635989143,not_pick,H2M1
30,1.3498501007446218,0.5758520993827139,not_pick,H2M1
31,3.5944739778431507,-0.49594117312283115,not_pick,H2M1
32,1.320401388087426,2.733712138632934,not_pick,H2M1
33,2.7602023705408003,-0.5704982402065613,not_pick,H2M1
34,1.4069178458226848,3.0825601264483193,pick,H2M1
35,0.031456318901051224,0.3541833280332275,not_pick,H2M1
36,-2.477682169892002,3.498481118682708,bad_pick,H2M1
37,-1.6946871059638227,0.6691167019213552,not_pick,H2M1
38,0.48661106904074736,-0.4856801427648076,not_pick,H2M1
39,3.7391618552493053,-0.3250315513158088,not_pick,H2M1
40,-1.9594337591344344,-0.6183606275435762,not_pick,H2M1
41,3.2638812026519206,4.343889377828432,not_pick,H2M1
42,0.8987390870184274,0.2556330880747246,not_pick,H2M1
43,-2.399059167404819,-0.11947212600192646,not_pick,H2M1
44,-1.7659557010581852,-0.3287173841549917,not_pick,H2M1
45,-1.6853434974356623,-0.9000455205098076,not_pick,H2M1
46,-2.182559009028332,-0.5371887344121272,not_pick,H2M1
47,0.1819004597329278,1.72271650069717,not_pick,H2M1
48,5.237830637536472,-2.98088604181436,pick,H2M1
49,-0.5294223759157274,1.1371112272160135,not_pick,H2M1
50,-0.7022980808662409,0.4445762810357487,pick,H2M1
51,1.6577166279604505,-1.099022540555833,not_pick,H2M1
52,-1.8932053580748767,-0.4079444251638128,not_pick,H2M1
53,5.75929039748298,-1.2726130314850468,bad_pick,H2M1
54,1.4169271441870241,-0.44104470031013043,not_pick,H2M1
55,0.17735110850335958,-0.5104233583958037,not_pick,H2M1
56,-1.4730868207631331,-0.24799225350136495,not_pick,H2M1
57,-2.0946896969824516,0.9891258691106366,not_pick,H2M1
58,-2.591312001766259,-0.12322963250755475,not_pick,H2M1
59,7.680369311561354,-2.1454640727395673,bad_pick,H2M1
60,-3.1020584813048324,-0.5225294761759396,not_pick,H2M1
61,-2.1015107724248088,0.7852747641277242,not_pick,H2M1
62,-1.3395637993261353,-0.390680249607615,not_pick,H2M1
63,-3.058856689610078,-0.2728228718635722,not_pick,H2M1
64,-2.79848098046064,-0.20106024217811502,not_pick,H2M1
65,0.11256137537188952,0.43201619450520307,not_pick,H2M1
66,6.659084188395363,-0.12212758209417678,bad_pick,H2M1
67,-0.7430920786849964,-0.057156112511848385,not_pick,H2M1
68,-3.8823546542419485,-0.5523984773154713,not_pick,H2M1
69,5.184545294171285,-2.731422372802113,bad_pick,H2M1
70,4.297431323471959,-2.943283111563317,not_pick,H2M1
71,-4.356134935296778,-0.5915319851602618,pick,H2M1
